Response,Feature_Name,Coef
Remission,Intercept,-11.20615276787845
Remission,age 13-19,0.022173756412290302
Remission,age 20-40,-0.025310995124978565
Remission,age 41-64,-0.026491332592130674
Remission,age 65-79,0.005521347883431729
Remission,age 80-89,-0.025448743687358364
Remission,Female,-0.056590617620611995
Remission,disease_109006,-0.013723151005899726
Remission,disease_450005,0.017480529922036372
Remission,disease_563001,-0.015899558976652385
Remission,disease_928000,-0.0006204901532067136
Remission,disease_1201005,-0.004940372056387456
Remission,disease_1207009,-0.0044909214360261485
Remission,disease_1212005,-0.003346623161972844
Remission,disease_1482004,-0.0009489797215301679
Remission,disease_1489008,0.003879068285493177
Remission,disease_1538006,0.013991710958639249
Remission,disease_1539003,-0.014005336153764644
Remission,disease_1639007,-0.005558993583669079
Remission,disease_1755008,0.01070205000708583
Remission,disease_1761006,0.023214569171549803
Remission,disease_1855002,-0.017957807098291534
Remission,disease_1961000,0.018577902862160028
Remission,disease_2043009,-0.0061269242066993015
Remission,disease_2403008,0.03769004358311892
Remission,disease_2415007,0.01981184898495058
Remission,disease_2526004,-0.010119589199748919
Remission,disease_2556008,-0.01589614430487653
Remission,disease_2615004,0.013402201586360343
Remission,disease_2630008,-0.02556341408061353
Remission,disease_2776000,-0.026291708627100417
Remission,disease_2901004,-0.0014354907575030423
Remission,disease_3135009,0.007003340641117791
Remission,disease_3199001,0.005248445282580869
Remission,disease_3218000,-0.030650649777292482
Remission,disease_3289004,0.012895697268212707
Remission,disease_3441005,0.004141708830770777
Remission,disease_3548001,0.016914297143384074
Remission,disease_3577000,0.00813738141836041
Remission,disease_3696007,0.006124914404250853
Remission,disease_3716002,0.00972840259700204
Remission,disease_3855007,-0.00618963245214244
Remission,disease_3972004,-0.018939650466449614
Remission,disease_4103001,0.011895201542186528
Remission,disease_4210003,0.01458606516267069
Remission,disease_4473006,-0.007248075941551604
Remission,disease_4494009,0.030039354934041616
Remission,disease_4556007,-0.022010206127359797
Remission,disease_4557003,0.014722004606237505
Remission,disease_4598005,-0.000522702303530558
Remission,disease_4661003,-0.009277150789887556
Remission,disease_4776004,0.00801660960426124
Remission,disease_4819006,-0.00565641713669047
Remission,disease_4834000,-0.013025148374848874
Remission,disease_5285008,0.004697452479199165
Remission,disease_5291005,0.00488413514838139
Remission,disease_5313005,0.009417641573848654
Remission,disease_5318001,-0.02697918573129301
Remission,disease_5368009,-0.008732515580563831
Remission,disease_5370000,-0.01402631026134432
Remission,disease_5602001,0.013494777209384863
Remission,disease_5662003,-0.005433656431902479
Remission,disease_5689008,0.013470193361105803
Remission,disease_5888003,-0.029854271166105076
Remission,disease_6020002,-0.0066486649094688035
Remission,disease_6118003,0.0015733912817519112
Remission,disease_6141006,0.0028632869354312087
Remission,disease_6142004,0.010689771865481642
Remission,disease_6185008,0.002918212800463448
Remission,disease_6234006,0.0030017551190916515
Remission,disease_6288001,-0.01663094224880378
Remission,disease_6456007,-0.021133839300624027
Remission,disease_6595006,-0.025806151542406862
Remission,disease_6654000,0.00038031347546773155
Remission,disease_6655004,-0.04311299034279464
Remission,disease_6738008,0.005562859649476137
Remission,disease_6869001,0.003637296411246506
Remission,disease_6962006,-0.007094711659247424
Remission,disease_7163005,0.011813365388575452
Remission,disease_7180009,-0.0010887368214792267
Remission,disease_7339009,-0.019931506849200083
Remission,disease_7436001,0.011148975316528639
Remission,disease_7620006,-0.01062289024885188
Remission,disease_7632005,-0.042135044386447114
Remission,disease_7674000,-0.0011450595850303017
Remission,disease_7724006,-0.017473390495990924
Remission,disease_7792000,-0.007215229847862346
Remission,disease_7895008,-0.024300439495836098
Remission,disease_8098009,-0.02219072422128039
Remission,disease_8186001,0.0006977261738239209
Remission,disease_8493009,-0.005394066884709407
Remission,disease_8635005,0.021506775651714032
Remission,disease_8663007,-0.035813831077881164
Remission,disease_8722008,0.005303980520758431
Remission,disease_8765009,-0.019108955705798607
Remission,disease_8801005,0.010091463507017822
Remission,disease_9009001,0.0002562658968562618
Remission,disease_9014002,0.021406573843840024
Remission,disease_9015001,-0.008747496227283278
Remission,disease_9389005,0.003076159189924854
Remission,disease_9414007,-0.018307454970652025
Remission,disease_9468002,-0.003399188032479936
Remission,disease_9651007,0.02560331056652452
Remission,disease_9713002,-0.004563224156721993
Remission,disease_9826008,-0.003295664010961039
Remission,disease_9918001,0.005387730572239844
Remission,disease_10050004,0.006030412659162203
Remission,disease_10380004,0.012284274830606314
Remission,disease_10509002,-0.01677438280081694
Remission,disease_10649000,-0.006337510251416245
Remission,disease_10743008,-0.011888615606905848
Remission,disease_11061003,-0.0032007284689279077
Remission,disease_11209007,-0.0059176907904822705
Remission,disease_11314008,0.007471075719622273
Remission,disease_11366004,-0.015365880071986353
Remission,disease_11381005,-0.01948986765655892
Remission,disease_11399002,-0.008414926912701017
Remission,disease_11422002,-0.025381416045433553
Remission,disease_11437003,0.014749676024970902
Remission,disease_11538006,-0.044597291866873265
Remission,disease_11597004,0.0017342382372891743
Remission,disease_11654001,-0.010731105567785532
Remission,disease_11687002,0.03578600563331818
Remission,disease_11806006,0.019182827519598485
Remission,disease_11851006,-0.008671036997213702
Remission,disease_11934000,0.02482903860048175
Remission,disease_11999007,0.014219201048446423
Remission,disease_12026006,-0.0017257006849966247
Remission,disease_12295008,0.0008953806591232197
Remission,disease_12337004,0.006345835677039201
Remission,disease_12729009,-0.018341181827630927
Remission,disease_12820001,-0.00942381311452852
Remission,disease_12867002,-0.0291113074519982
Remission,disease_13200003,-0.002752971203530093
Remission,disease_13213009,0.01550064538709931
Remission,disease_13370002,-0.0097746329540172
Remission,disease_13445001,0.02223978377550753
Remission,disease_13645005,-0.012605460209136301
Remission,disease_13920009,-0.007898608782566478
Remission,disease_14046000,-0.02781014731672933
Remission,disease_14140009,-0.012139802950049045
Remission,disease_14223005,0.0046762418137232436
Remission,disease_14304000,-5.990627495764686e-05
Remission,disease_14540002,-0.012092096862199985
Remission,disease_14669001,-0.020396472753305948
Remission,disease_14784000,-0.007183134093246429
Remission,disease_14817008,-0.011661811236582685
Remission,disease_14948001,-0.004863978086693631
Remission,disease_14981000,0.010459858002962364
Remission,disease_15033003,-0.01061597506343754
Remission,disease_15167005,-0.022518295326426057
Remission,disease_15188001,0.019109539813357918
Remission,disease_15230009,-0.018735931193482283
Remission,disease_15241006,0.005600994513899198
Remission,disease_15250008,-0.012021023034473522
Remission,disease_15385006,-0.0289480923603015
Remission,disease_15639000,0.0014717925749003803
Remission,disease_15771004,0.0287539525182974
Remission,disease_15802004,0.006982113976504355
Remission,disease_15805002,-0.01859468685025718
Remission,disease_16294009,0.007288537482425985
Remission,disease_16358007,-0.0027602408091002817
Remission,disease_16402000,0.020001191468600257
Remission,disease_16440002,-0.004326901637708343
Remission,disease_16607004,0.00013894476063796454
Remission,disease_16617009,-0.018668164822562644
Remission,disease_16726004,0.012414103563794809
Remission,disease_16761005,0.0017976198350300571
Remission,disease_16932000,-0.012483288910028211
Remission,disease_17206008,0.002108529400599014
Remission,disease_17222009,0.014178559699614152
Remission,disease_17226007,-0.0108009404325403
Remission,disease_17300000,-0.025193685267550083
Remission,disease_17382005,-0.03782580751474777
Remission,disease_17463000,0.020042284317525985
Remission,disease_17467004,0.004453183950278965
Remission,disease_17496003,-0.012101320890532313
Remission,disease_17741008,0.013397080495180099
Remission,disease_17790008,-0.003214697751843507
Remission,disease_17883008,-0.022860386463550323
Remission,disease_17920008,5.5035194713856025e-05
Remission,disease_18040001,-0.013376347755875746
Remission,disease_18070006,0.009130922339644276
Remission,disease_18193002,-0.02524604832724945
Remission,disease_18260003,-0.04157793951765883
Remission,disease_18347007,0.00459268268760554
Remission,disease_18773000,-0.001497905717347097
Remission,disease_18818009,-0.01199553829938117
Remission,disease_18888002,-0.002352114684073121
Remission,disease_18941000,-0.027691160404035353
Remission,disease_18973006,0.020350525317214374
Remission,disease_19034001,0.0028719069101124485
Remission,disease_19354008,0.0004378069577060175
Remission,disease_19429009,-0.016800302373431827
Remission,disease_19442009,0.0010485655733845668
Remission,disease_19494006,0.006207275055750275
Remission,disease_19527009,0.003891486723965331
Remission,disease_19569008,-0.025574476035144116
Remission,disease_19620000,0.003228930571402075
Remission,disease_19660004,0.001991140853938288
Remission,disease_19829001,-0.017864994833012383
Remission,disease_19843006,0.035892323641542864
Remission,disease_19943007,0.014726641698973173
Remission,disease_20010003,0.010072986561821689
Remission,disease_20018005,-0.007911538830066704
Remission,disease_20021007,-0.01986761537998724
Remission,disease_20059004,0.03872965676942906
Remission,disease_20376005,-0.0031832866347274117
Remission,disease_20696009,-0.02738571213617371
Remission,disease_20721001,-0.017730023174259476
Remission,disease_20734000,0.030011926892892293
Remission,disease_20824003,0.007387551258267909
Remission,disease_20917003,0.017461934894680578
Remission,disease_21117005,-0.013431534033953233
Remission,disease_21333004,0.0356799142028772
Remission,disease_21409006,0.015043114407654002
Remission,disease_21420006,0.0016856657831978692
Remission,disease_21639008,-0.011910671767238156
Remission,disease_21719001,0.011314687328034563
Remission,disease_21782001,-0.022310289683785303
Remission,disease_21794005,0.0021025735698594512
Remission,disease_21877004,-0.00042812007263535594
Remission,disease_21897009,-0.00849431749375506
Remission,disease_21983002,-0.013983198073704968
Remission,disease_22043005,0.010224180980375213
Remission,disease_22169002,0.013327891813104028
Remission,disease_22173004,0.01565960271328265
Remission,disease_22193007,-0.030710861084395392
Remission,disease_22649008,0.005557693814121093
Remission,disease_22722001,0.0027212121453885634
Remission,disease_22741003,-0.0012100847676647483
Remission,disease_22753004,0.022630543665807128
Remission,disease_22817005,-0.010105171756074909
Remission,disease_22878006,-0.006161234201984141
Remission,disease_22950006,0.01963653026329864
Remission,disease_23056005,-0.0012606366469806421
Remission,disease_23238000,0.034466130482130486
Remission,disease_23260002,0.007673553552450801
Remission,disease_23513009,-0.03283194103695811
Remission,disease_23680005,0.005480943065287417
Remission,disease_23685000,-0.018558585616408555
Remission,disease_23777003,0.04204948025946291
Remission,disease_23793007,0.0025728382234360713
Remission,disease_23900009,-0.008578628100441873
Remission,disease_23913003,0.013412275054903014
Remission,disease_23986001,-0.016039966350945775
Remission,disease_24079001,0.000870313846491254
Remission,disease_24121004,-0.01688058103337625
Remission,disease_24346005,0.0033748499593474995
Remission,disease_24366001,-0.006736331030633464
Remission,disease_24424003,-0.005752522715724196
Remission,disease_24520005,-0.013328686527501368
Remission,disease_24700007,-0.005042902261490522
Remission,disease_24782002,-0.0024580344470908
Remission,disease_24813008,-0.009273266205971359
Remission,disease_24928009,-0.014904359659925712
Remission,disease_24982008,0.0023789814035513174
Remission,disease_25093002,0.0053973342239657
Remission,disease_25114006,-0.003325499610423992
Remission,disease_25415003,-0.02574132798211377
Remission,disease_25458004,-0.004939670795950731
Remission,disease_25501002,0.012237272869272005
Remission,disease_25569003,0.0014024694472811905
Remission,disease_25702006,0.016937842739898363
Remission,disease_25817001,0.014993782289575668
Remission,disease_25899002,-0.013747056800925904
